judge,mode,win_rate,correct,total,ci_low,ci_high
anthropic_claude_sonnet_4.5,baseline,0.8848920863309353,123,139,0.8211891883801031,0.9278930520520311
anthropic_claude_sonnet_4.5,judge_only,0.9136690647482014,127,139,0.8551623501011412,0.9499260391483488
anthropic_claude_sonnet_4.5,debater_only,0.8857142857142857,124,140,0.8224092535736809,0.9284173918556291
anthropic_claude_sonnet_4.5,full_access,0.8676470588235294,118,136,0.8004816346126649,0.9146138802891128
meta_llama_llama_3.1_8b_instruct,baseline,0.8345323741007195,116,139,0.7639356983174332,0.8871357816843284
meta_llama_llama_3.1_8b_instruct,judge_only,0.8405797101449275,116,138,0.770410668752392,0.8923010713942467
meta_llama_llama_3.1_8b_instruct,debater_only,0.8642857142857143,121,140,0.7977487912094622,0.9113652628071084
meta_llama_llama_3.1_8b_instruct,full_access,0.8345323741007195,116,139,0.7639356983174332,0.8871357816843284
meta_llama_llama_3.3_70b_instruct,baseline,0.8613138686131386,118,137,0.7935350433664754,0.9093829811197471
meta_llama_llama_3.3_70b_instruct,judge_only,0.8285714285714286,116,140,0.757584242185122,0.8820088261435495
meta_llama_llama_3.3_70b_instruct,debater_only,0.8201438848920863,114,139,0.7479647083306937,0.8751036972623898
meta_llama_llama_3.3_70b_instruct,full_access,0.8405797101449275,116,138,0.770410668752392,0.8923010713942467
probe_classifier,probe_only_mean,0.9142857142857143,128,140,0.8561546785666259,0.9502887554130033
probe_classifier,probe_only_max,0.9214285714285714,129,140,0.8647850070923281,0.9555626240248808
