dataset,probe_type,layer,auroc,accuracy,f1
apollo_baseline,apollo,22,0.9255263877495215,0.6838046272493573,0.36923076923076925
10T1L_roleplay,attentionh1_t1.0,22,0.9170221493027071,0.8020565552699229,0.7372013651877133
10T1L_direct_liar,attentionh1_t1.0,22,0.9096117035821711,0.8226221079691517,0.7676767676767676
10T1L_roleplay,attentionh2_t1.0,22,0.9080803937653814,0.8303341902313625,0.7828947368421053
10T1L_direct_liar,attentionh2_t1.0,22,0.9073967733114575,0.7866323907455013,0.6914498141263941
10T1L_direct_liar,attentionh4_t0.5,22,0.9006699480448455,0.7737789203084833,0.6691729323308271
10T1L_direct_liar,attentionh4_t2.0,22,0.8961580530489471,0.7917737789203085,0.7075812274368231
10T1L_roleplay,attentionh4_t0.5,22,0.8932048126879957,0.7866323907455013,0.7224080267558528
10T1L_direct_liar,attentionh4_t1.0,22,0.8915094339622642,0.7609254498714653,0.6436781609195402
10T1L_roleplay,attentionh4_t1.0,22,0.8878725731473885,0.8071979434447301,0.7491638795986622
5T2L_direct_liar,attentionh1_t1.0,22,0.8851380913316926,0.8046272493573264,0.7483443708609272
5T2L_conditional,attentionh1_t1.0,22,0.8820481268799563,0.7840616966580977,0.7021276595744681
5T2L_neutral,attentionh1_t1.0,22,0.8810637134263057,0.8020565552699229,0.7830985915492957
10T1L_roleplay,attentionh8_t1.0,22,0.8804074377905386,0.7506426735218509,0.6196078431372549
10T1L_roleplay,attentionh4_t2.0,22,0.880298058517911,0.8071979434447301,0.7540983606557377
10T1L_direct_liar,attentionh1_t1.0,36,0.8773721629751162,0.7866323907455013,0.7313915857605178
5T2L_roleplay,attentionh1_t1.0,22,0.8766611977030353,0.8020565552699229,0.7601246105919003
10T1L_direct_liar,meandiffdefault,22,0.8752119223407164,0.5809768637532133,0.6582809224318659
10T1L_direct_liar,attentionh2_t1.0,36,0.8738446814328685,0.7712082262210797,0.7192429022082019
5T2L_neutral,meandiffdefault,22,0.8702625102543068,0.4473007712082262,0.5966228893058161
5T2L_roleplay,meandiffdefault,22,0.868211648892535,0.7223650385604113,0.7216494845360825
5T2L_conditional,attentionh1_t1.0,36,0.8677467869838666,0.7763496143958869,0.7090301003344481
10T1L_direct_liar,attentionh4_t2.0,36,0.8668444079846868,0.7712082262210797,0.7244582043343654
5T2L_direct_liar,meandiffdefault,22,0.8667350287120591,0.6503856041131105,0.6822429906542056
5T2L_instructional,attentionh1_t1.0,22,0.8662154771670769,0.7840616966580977,0.7162162162162162
5T2L_roleplay,attentionh2_t1.0,36,0.8659693738036642,0.7737789203084833,0.7441860465116279
5T2L_conditional,meandiffdefault,22,0.8645474432595024,0.6426735218508998,0.6789838337182448
5T2L_direct_liar,attentionh2_t1.0,22,0.8597894449001914,0.7789203084832905,0.7074829931972789
5T2L_direct_liar,attentionh4_t1.0,22,0.8586409625375991,0.7377892030848329,0.6106870229007634
5T2L_roleplay,attentionh2_t1.0,22,0.8584495488105004,0.7763496143958869,0.7128712871287128
10T1L_direct_liar,attentionh8_t1.0,22,0.8582581350834017,0.7095115681233933,0.5065502183406113
5T2L_conditional,attentionh2_t1.0,22,0.8577385835384195,0.7660668380462725,0.7165109034267912
5T2L_instructional,meandiffdefault,22,0.8576838939021055,0.6529562982005142,0.6838407494145199
5T2L_neutral,attentionh2_t1.0,22,0.856672135630298,0.7712082262210797,0.7244582043343654
5T2L_instructional,attentionh2_t1.0,22,0.8564807219031993,0.7789203084832905,0.7207792207792207
5T2L_instructional,attentionh1_t1.0,36,0.8558517910855894,0.7866323907455013,0.7381703470031545
5T2L_roleplay,attentionh4_t1.0,36,0.8549494120864096,0.7634961439588689,0.7142857142857143
5T2L_conditional,attentionh4_t0.5,22,0.8539103089964452,0.7634961439588689,0.6870748299319728
10T1L_direct_liar,attentionh4_t1.0,36,0.8532540333606782,0.7583547557840618,0.6887417218543046
5T2L_conditional,attentionh2_t1.0,36,0.8495077932731747,0.7557840616966581,0.6964856230031949
5T2L_instructional,attentionh4_t0.5,22,0.8489882417281925,0.7609254498714653,0.6736842105263158
10T1L_direct_liar,attentionh4_t0.5,36,0.8481952420016406,0.781491002570694,0.7098976109215017
5T2L_conditional,attentionh4_t1.0,22,0.8477577249111294,0.7634961439588689,0.6783216783216783
5T2L_conditional,attentionh1_t1.0,44,0.8476756904566586,0.7712082262210797,0.7003367003367004
5T2L_instructional,attentionh8_t1.0,36,0.8474842767295598,0.7712082262210797,0.7227414330218068
5T2L_conditional,attentionh4_t0.5,36,0.8467459666393218,0.7892030848329049,0.7071428571428572
5T2L_roleplay,attentionh1_t1.0,44,0.8464451736395953,0.7609254498714653,0.7084639498432602
5T2L_instructional,attentionh4_t1.0,22,0.8458982772764561,0.7712082262210797,0.7100977198697068
5T2L_neutral,attentionh4_t1.0,22,0.8455974842767296,0.7583547557840618,0.6845637583892618
5T2L_roleplay,attentionh1_t1.0,36,0.8444216570959803,0.7275064267352185,0.7055555555555556
5T2L_direct_liar,attentionh4_t0.5,22,0.8436013125512716,0.7146529562982005,0.5577689243027888
5T2L_roleplay,attentionh4_t1.0,22,0.8432458299152311,0.7712082262210797,0.7081967213114754
5T2L_instructional,attentionh4_t1.0,36,0.8428903472791908,0.7377892030848329,0.7052023121387283
5T2L_conditional,attentionh4_t2.0,22,0.8420700027344818,0.7557840616966581,0.6594982078853047
5T2L_instructional,attentionh4_t2.0,36,0.8411129340989884,0.7429305912596401,0.7109826589595376
5T2L_roleplay,attentionh4_t0.5,22,0.8407847962811047,0.7429305912596401,0.6402877697841727
5T2L_instructional,attentionh4_t0.5,36,0.8406480721903199,0.7275064267352185,0.7005649717514124
5T2L_direct_liar,attentionh4_t2.0,22,0.839937106918239,0.7532133676092545,0.6756756756756757
5T2L_roleplay,attentionh4_t2.0,22,0.8397730380092971,0.7583547557840618,0.6824324324324325
5T2L_direct_liar,attentionh2_t1.0,36,0.8390073831009024,0.7480719794344473,0.7048192771084337
5T2L_conditional,attentionh4_t0.5,44,0.8382143833743505,0.7609254498714653,0.6990291262135923
10T1L_direct_liar,attentionh8_t1.0,44,0.8381596937380367,0.7326478149100257,0.584
5T2L_instructional,attentionh2_t1.0,36,0.8356713152857534,0.7403598971722365,0.7002967359050445
5T2L_roleplay,attentionh4_t2.0,36,0.8348236259228876,0.7377892030848329,0.6909090909090909
5T2L_conditional,attentionh4_t2.0,36,0.8345775225594749,0.7532133676092545,0.6821192052980133
10T1L_direct_liar,attentionh8_t1.0,36,0.8310226961990701,0.7377892030848329,0.6382978723404256
5T2L_conditional,attentionh4_t1.0,36,0.8309133169264425,0.7506426735218509,0.6777408637873754
10T1L_direct_liar,sklearn_logisticC0.01_l2,36,0.8305031446540881,0.6863753213367609,0.4077669902912621
5T2L_direct_liar,attentionh8_t1.0,36,0.8300382827454198,0.7352185089974294,0.6997084548104956
5T2L_instructional,attentionh4_t2.0,44,0.8290538692917693,0.7403598971722365,0.6793650793650794
5T2L_conditional,attentionh2_t1.0,44,0.8286710418375717,0.7789203084832905,0.6993006993006993
5T2L_roleplay,attentionh8_t1.0,22,0.8275499042931365,0.7223650385604113,0.625
5T2L_direct_liar,attentionh8_t1.0,22,0.8247607328411266,0.7197943444730077,0.5791505791505791
5T2L_roleplay,attentionh2_t1.0,44,0.8244052502050863,0.7609254498714653,0.6990291262135923
5T2L_neutral,attentionh4_t2.0,22,0.8236395952966913,0.7275064267352185,0.6159420289855072
10T1L_direct_liar,attentionh4_t0.5,44,0.8233388022969647,0.7249357326478149,0.6348122866894198
5T2L_instructional,attentionh1_t1.0,44,0.8232841126606509,0.7660668380462725,0.6976744186046512
10T1L_direct_liar,sklearn_logisticC1.0_l1,36,0.8230380092972382,0.6838046272493573,0.4
5T2L_instructional,attentionh4_t2.0,22,0.8224911129340989,0.7506426735218509,0.6819672131147541
5T2L_neutral,attentionh4_t0.5,22,0.822463768115942,0.7429305912596401,0.6551724137931034
5T2L_conditional,attentionh8_t1.0,36,0.8210691823899372,0.7583547557840618,0.678082191780822
10T1L_direct_liar,sklearn_logisticC0.1_l2,36,0.8207136997538966,0.6632390745501285,0.3282051282051282
5T2L_direct_liar,attentionh1_t1.0,36,0.8188815969373804,0.7043701799485861,0.6685878962536023
10T1L_direct_liar,attentionh4_t2.0,44,0.818471424665026,0.7223650385604113,0.6058394160583942
10T1L_direct_liar,sklearn_logisticC1.0_l2,36,0.8177331145747879,0.6580976863753213,0.31088082901554404
10T1L_direct_liar,sklearn_logisticC10.0_l2,36,0.8168854252119223,0.6529562982005142,0.2931937172774869
5T2L_direct_liar,attentionh4_t2.0,36,0.8166119770303528,0.7172236503856041,0.6802325581395349
5T2L_roleplay,attentionh4_t2.0,44,0.8166119770303528,0.7429305912596401,0.6774193548387096
5T2L_direct_liar,attentionh4_t0.5,36,0.8148345638501504,0.6863753213367609,0.675531914893617
5T2L_roleplay,attentionh4_t0.5,36,0.8122094613070823,0.7146529562982005,0.6782608695652174
5T2L_direct_liar,attentionh4_t1.0,36,0.8111156685808039,0.699228791773779,0.6588921282798834
5T2L_neutral,attentionh8_t1.0,22,0.8104047033087229,0.7197943444730077,0.6279863481228669
5T2L_instructional,attentionh8_t1.0,22,0.8074514629477714,0.7197943444730077,0.660436137071651
5T2L_roleplay,attentionh4_t1.0,44,0.8071780147662018,0.7506426735218509,0.694006309148265
5T2L_conditional,attentionh8_t1.0,22,0.8064123598578069,0.7429305912596401,0.6575342465753424
10T1L_direct_liar,attentionh2_t1.0,44,0.80638501503965,0.699228791773779,0.6309148264984227
5T2L_roleplay,attentionh4_t0.5,44,0.8061662564943943,0.7249357326478149,0.6687306501547987
5T2L_instructional,attentionh2_t1.0,44,0.8048537052228603,0.7532133676092545,0.6862745098039216
5T2L_conditional,attentionh4_t2.0,44,0.8047169811320755,0.7352185089974294,0.6578073089700996
5T2L_conditional,attentionh4_t1.0,44,0.7989198796828001,0.7377892030848329,0.6506849315068494
10T1L_direct_liar,attentionh4_t1.0,44,0.7981542247744052,0.7197943444730077,0.6279863481228669
10T1L_direct_liar,attentionh1_t1.0,44,0.797634673229423,0.6889460154241646,0.6276923076923077
5T2L_roleplay,attentionh8_t1.0,36,0.7964588460486738,0.7172236503856041,0.6706586826347305
5T2L_instructional,attentionh4_t0.5,44,0.7952830188679245,0.7300771208226221,0.6645367412140575
5T2L_instructional,attentionh4_t1.0,44,0.7861225047853432,0.6786632390745502,0.6355685131195336
5T2L_roleplay,attentionh8_t1.0,44,0.7861225047853432,0.7146529562982005,0.6360655737704918
5T2L_instructional,attentionh8_t1.0,44,0.7759502324309544,0.6940874035989717,0.6382978723404256
5T2L_direct_liar,attentionh4_t0.5,44,0.7633989608969101,0.6658097686375322,0.6198830409356725
5T2L_conditional,attentionh8_t1.0,44,0.762031719989062,0.7429305912596401,0.6240601503759399
10T1L_roleplay,sklearn_logisticC0.01_l2,22,0.7615942028985507,0.6735218508997429,0.4730290456431535
