loss_mode,probe,layer,auroc,span_auroc,span_auprc,recall_at_oracle,cohens_d
sample_mean,attention_h1_t0.25,22,0.826,0.5276,0.2324,0.2036,0.1051
sample_mean,attention_h1_t0.25,36,0.8189,0.5257,0.2296,0.2024,0.1041
sample_mean,attention_h1_t0.25,50,0.7773,0.5184,0.2339,0.2052,0.0829
sample_mean,attention_h2_t0.25,22,0.8382,0.5384,0.235,0.2063,0.144
sample_mean,attention_h2_t0.25,36,0.848,0.5226,0.2248,0.1991,0.0854
sample_mean,attention_h2_t0.25,50,0.8227,0.5159,0.2279,0.1959,0.0669
sample_mean,logistic,22,0.7331,0.5216,0.2182,0.2012,0.0799
sample_mean,logistic,36,0.7255,0.5187,0.2115,0.1957,0.0775
sample_mean,logistic,50,0.7932,0.5171,0.2196,0.199,0.0479
sample_mean,meandiff,22,0.8628,0.506,0.2242,0.1955,0.0111
sample_mean,meandiff,36,0.5286,0.5261,0.2296,0.2042,0.1086
sample_mean,meandiff,50,0.4663,0.5385,0.2421,0.2159,0.1646
span_max,attention_h1_t0.25,22,0.7872,0.5126,0.2243,0.1955,0.0553
span_max,attention_h1_t0.25,36,0.8315,0.4823,0.1996,0.1625,-0.0806
span_max,attention_h1_t0.25,50,0.7699,0.5023,0.2103,0.1809,0.0115
span_max,attention_h2_t0.25,22,0.7618,0.5126,0.2242,0.1965,0.0619
span_max,attention_h2_t0.25,36,0.7834,0.4901,0.2038,0.1696,-0.0401
span_max,attention_h2_t0.25,50,0.8128,0.4991,0.2133,0.1823,0.0033
span_max,logistic,22,0.8009,0.5076,0.2174,0.1879,0.0505
span_max,logistic,36,0.8162,0.4878,0.2029,0.1652,-0.0325
span_max,logistic,50,0.7988,0.498,0.2086,0.1792,0.0111
span_max,meandiff,22,0.4368,0.5142,0.2102,0.1872,0.0583
span_max,meandiff,36,0.5059,0.4911,0.1994,0.1694,-0.0466
span_max,meandiff,50,0.5249,0.4875,0.1991,0.171,-0.0557
token_all,attention_h1_t0.25,22,0.244,0.4794,0.2118,0.173,-0.0833
token_all,attention_h1_t0.25,36,0.1689,0.5088,0.2361,0.1895,0.0529
token_all,attention_h1_t0.25,50,0.1445,0.4968,0.2212,0.1829,-0.0112
token_all,attention_h2_t0.25,22,0.2571,0.4712,0.2044,0.1678,-0.1215
token_all,attention_h2_t0.25,36,0.1669,0.5057,0.2336,0.1882,0.0397
token_all,attention_h2_t0.25,50,0.1462,0.496,0.2168,0.1832,-0.0223
token_all,logistic,22,0.2518,0.4786,0.2114,0.1716,-0.1058
token_all,logistic,36,0.1864,0.5099,0.2354,0.1911,0.0263
token_all,meandiff,22,0.4368,0.5142,0.2102,0.1872,0.0583
token_all,meandiff,36,0.5059,0.4911,0.1994,0.1694,-0.0466
